,strain,plasmid,backbone,iptg,log_mean_gfp,log_mean_v,log_std_gfp,log_std_v,log_rho,fit_goodness,std_gfp_correct,volume_decomposed_log_mean_gfp,rrpu
20,KT2440,1717,pSeva221,200,2.236099812741251,2.584556168405274,0.5497004193029884,0.7152282361899726,0.43833342487511373,0.9817009240543172,0.4940775770810084,2.250633737188072,0.8561212340385834
21,KT2440,1717,pSeva221,500,2.239681934780395,2.607292381250724,0.5430623597040897,0.7187725553748012,0.42839855024791257,0.9798654500630116,0.4907056557151396,2.2462866243660224,0.8518406607030953
22,KT2440,1717,pSeva221,1000,2.393418925511293,2.6200056024257843,0.5096304514210063,0.695148148570148,0.5140948325161435,0.9810755625342268,0.4371270353925881,2.3963180943051965,1.0108875773971917
23,KT2440,1717,pSeva221,2000,2.2529316080087725,2.7406594929399284,0.5466889564438913,0.7166559887256545,0.4503214541759808,0.9801025182862072,0.4881202554613581,2.2141270025435054,0.8207447701116038
24,KT2440,1818,pSeva221,0,0.2275429903135724,2.6327463263807487,0.4665994362521068,0.757270389153465,0.2843393562108197,0.9813644169705728,0.4473399373497033,0.2266585021043836,-0.00032428346139846747
25,KT2440,1818,pSeva221,5,0.1665793296475957,2.496395654962096,0.44481787280269497,0.7289305164448996,0.28082116314739514,0.9833260417267392,0.42691845182446425,0.1890801244427504,-0.005133196398543989
26,KT2440,1818,pSeva221,10,0.13904415016321695,2.4862419252628745,0.4379617190875639,0.7413315341558979,0.2777303307712751,0.9798455318278592,0.42073190108149183,0.16225377269057478,-0.008457285547315311
27,KT2440,1818,pSeva221,20,0.1948915864305548,2.5127707338713208,0.4655063198869034,0.7427852410813853,0.33041165196837263,0.9827626220125784,0.43936205334518746,0.2186895673918892,-0.0013592215282249936
28,KT2440,1818,pSeva221,30,0.13340768533311895,2.42814310018362,0.4330276513411622,0.7309924136317841,0.31207697641660825,0.9873890726155422,0.4114008733054704,0.17029920288133465,-0.007469710195449368
29,KT2440,1818,pSeva221,40,0.12216300747538535,2.4126831486560265,0.4300423285291259,0.745346859099658,0.3077865620094173,0.9854710084155648,0.4091661079241115,0.1603460519595336,-0.008690294906644701
30,KT2440,1818,pSeva221,70,0.18245534929918095,2.4212360213406976,0.4501494341551871,0.7323679169039771,0.3175187856892657,0.9851741170523436,0.4268550929837027,0.22274899427065611,-0.0008330479626465193
31,KT2440,1818,pSeva221,100,0.2921086653482694,2.4921584150805924,0.4654380699488497,0.7501300036316401,0.3462331277526156,0.9851501969785724,0.436650030438436,0.3212265351526437,0.012608283571212527
32,KT2440,1818,pSeva221,200,0.6339778786860336,2.5482625126934595,0.5739898037512369,0.7590343765559774,0.2921359489084807,0.9881946941058928,0.5489505328776897,0.65152643456536,0.06870252852357721
