,strain,plasmid,backbone,iptg,rrpu
92,KT2440,Bm3r1_b2,pSeva221,200,0.6537046623373691
93,KT2440,Bm3r1_b2,pSeva221,500,0.6088169534729091
94,KT2440,Bm3r1_b2,pSeva221,1000,0.5715805816453916
95,KT2440,Bm3r1_b2,pSeva221,2000,0.5012955771048989
96,KT2440,Bm3r1_b3,pSeva221,1,0.28098236842242114
97,KT2440,Bm3r1_b3,pSeva221,5,0.2549804990460167
98,KT2440,Bm3r1_b3,pSeva221,10,0.2355754121039371
99,KT2440,Bm3r1_b3,pSeva221,20,0.3386228468021219
100,KT2440,Bm3r1_b3,pSeva221,30,0.2413429244049174
101,KT2440,Bm3r1_b3,pSeva221,40,0.267253268600484
102,KT2440,Bm3r1_b3,pSeva221,70,0.28218788352433755
103,KT2440,Bm3r1_b3,pSeva221,100,0.3373445963316172
104,KT2440,Bm3r1_b3,pSeva221,200,0.34169487886869737
105,KT2440,Bm3r1_b3,pSeva221,500,0.3637619771592719
106,KT2440,Bm3r1_b3,pSeva221,1000,0.3267879925474436
107,KT2440,Bm3r1_b3,pSeva221,2000,0.28429971455524783
108,KT2440,Hiyiir_h1,pSeva221,1,0.4934873782627962
109,KT2440,Hiyiir_h1,pSeva221,5,0.5194290436149412
110,KT2440,Hiyiir_h1,pSeva221,10,0.5050331853560039
111,KT2440,Hiyiir_h1,pSeva221,20,0.4600866779446312
112,KT2440,Hiyiir_h1,pSeva221,30,0.4730712606996053
113,KT2440,Hiyiir_h1,pSeva221,40,0.4648218161398922
114,KT2440,Hiyiir_h1,pSeva221,70,0.4293280504646511
115,KT2440,Hiyiir_h1,pSeva221,100,0.4027641218867588
116,KT2440,Hiyiir_h1,pSeva221,200,0.3278202593138836
117,KT2440,Hiyiir_h1,pSeva221,500,0.1773714139596209
118,KT2440,Hiyiir_h1,pSeva221,1000,0.07881016678280872
119,KT2440,Hiyiir_h1,pSeva221,2000,0.024578483749284917
120,KT2440,Lcara_i1,pSeva221,1,4.592189333010063
121,KT2440,Lcara_i1,pSeva221,5,4.310752906263762
122,KT2440,Lcara_i1,pSeva221,10,4.150279779487904
123,KT2440,Lcara_i1,pSeva221,20,3.8540722884498786
124,KT2440,Lcara_i1,pSeva221,30,3.6436451121349136
125,KT2440,Lcara_i1,pSeva221,40,3.5490594808724323
126,KT2440,Lcara_i1,pSeva221,70,3.3143484205965787
127,KT2440,Lcara_i1,pSeva221,100,2.894066665745687
128,KT2440,Lcara_i1,pSeva221,200,2.2791416396034023
129,KT2440,Lcara_i1,pSeva221,500,1.4734831214186204
130,KT2440,Lcara_i1,pSeva221,1000,0.9251084693221032
131,KT2440,Lcara_i1,pSeva221,2000,0.5203265862372071
132,KT2440,Litr_l1,pSeva221,1,9.571459379887349
133,KT2440,Litr_l1,pSeva221,5,7.876318340102149
134,KT2440,Litr_l1,pSeva221,10,7.51247045467733
135,KT2440,Litr_l1,pSeva221,20,6.721368370699913
136,KT2440,Litr_l1,pSeva221,30,6.196344680420692
137,KT2440,Litr_l1,pSeva221,40,6.050215652112538
138,KT2440,Litr_l1,pSeva221,70,5.750064353104714
139,KT2440,Litr_l1,pSeva221,100,5.159139088994941
140,KT2440,Litr_l1,pSeva221,200,3.8368618564407386
141,KT2440,Litr_l1,pSeva221,500,2.9066578434469554
142,KT2440,Litr_l1,pSeva221,1000,2.2397409624971862
143,KT2440,Litr_l1,pSeva221,2000,1.7770267200319316
144,KT2440,Lmra_n1,pSeva221,1,2.93627338308087
145,KT2440,Lmra_n1,pSeva221,5,2.6432977984175645
146,KT2440,Lmra_n1,pSeva221,10,2.5848601111493106
147,KT2440,Lmra_n1,pSeva221,20,2.3988911833133995
148,KT2440,Lmra_n1,pSeva221,30,2.3352930575244346
149,KT2440,Lmra_n1,pSeva221,40,2.228300126326168
150,KT2440,Lmra_n1,pSeva221,70,2.0256495624359707
151,KT2440,Lmra_n1,pSeva221,100,1.865795670949916
152,KT2440,Lmra_n1,pSeva221,200,1.4996256037780202
153,KT2440,Lmra_n1,pSeva221,500,0.9248506717291132
154,KT2440,Lmra_n1,pSeva221,1000,0.5862302432203959
155,KT2440,Lmra_n1,pSeva221,2000,0.3627118138832123
156,KT2440,Phif_p1,pSeva221,1,19.53976065569154
157,KT2440,Phif_p1,pSeva221,5,19.329232972736552
158,KT2440,Phif_p1,pSeva221,10,18.93605387936965
159,KT2440,Phif_p1,pSeva221,20,17.54107945222578
160,KT2440,Phif_p1,pSeva221,30,16.722438449312175
161,KT2440,Phif_p1,pSeva221,40,16.595997547517005
162,KT2440,Phif_p1,pSeva221,70,14.93010212291525
163,KT2440,Phif_p1,pSeva221,100,15.172676978643816
164,KT2440,Phif_p1,pSeva221,200,15.49403780083238
165,KT2440,Phif_p1,pSeva221,500,15.562213449099215
166,KT2440,Phif_p1,pSeva221,1000,14.74075765964235
167,KT2440,Phif_p1,pSeva221,2000,14.902074214486802
168,KT2440,Phif_p2,pSeva221,1,21.55098480934683
169,KT2440,Phif_p2,pSeva221,5,19.708177262455045
170,KT2440,Phif_p2,pSeva221,10,19.381211696115976
171,KT2440,Phif_p2,pSeva221,20,18.210961269600848
172,KT2440,Phif_p2,pSeva221,30,17.6915768349722
